fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,57,0.036578430262042924
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,58,0.04253571398763055
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,59,0.037132168029744235
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,60,0.04069967049052955
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,61,0.023519084708446263
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,62,0.040457517084296235
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,63,0.038703002106182126
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,64,0.03324924318562667
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,65,0.03267387348653979
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,66,0.043848531286081016
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,67,0.03812440356050982
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,68,0.038119648569470935
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,69,0.05737497994742807
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,70,0.033201965035060566
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,71,0.02934770573346573
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,72,0.041563295957356375
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,73,0.028931734151423513
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,74,0.03804392495531859
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,75,0.05350983402666557
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,76,0.04393123003628093
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,77,0.029646114603991736
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,78,0.031392507619681584
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,79,0.02192161977178808
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,80,0.022733859928032348
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,81,0.054851640503329815
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,82,0.03387932469642488
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,83,0.04158637801654429
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,84,0.028429078191337557
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,85,0.04622741343783834
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,86,0.03931404205228541
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,87,0.03444344107348196
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,88,0.033212295284624375
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,89,0.03932927843263815
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,90,0.0376046595965965
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,91,0.03626878863328785
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,92,0.0374645995224332
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,93,0.03341448392232346
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,94,0.036515305669831834
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,95,0.03362836000949482
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,96,0.05010683791293873
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,97,0.0490567886028924
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,98,0.038312914878890686
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,99,0.04848311190967986
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,0,-0.009675344830588621
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,1,-0.012609080080350865
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,2,-0.01337770443350744
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,3,-0.007918817015670378
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,4,-0.011574344008743808
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,5,-0.01090385563609692
