fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,35,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,35,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,35,-0.013164363801479341
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,35,-0.037340350449085236
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,35,-0.027709709480404854
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,35,0.017424628138542175
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,35,0.030178729444742206
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,35,0.5429907441139221
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,19,2.924630880355835
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,19,0.006574516650289297
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,19,-0.013834536075592041
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,19,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,19,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,19,0.0032523996196687213
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,19,-0.01748401112854481
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,19,-0.02369224466383457
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,19,0.05188968777656555
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,19,0.0825323536992073
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,19,0.3698475360870361
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,36,2.96273136138916
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,36,0.0212298147380352
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,36,-0.0137171633541584
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,36,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,36,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,36,0.05176759511232376
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,36,-0.029605351388454437
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,36,0.106121763586998
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,36,0.0439082644879818
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,36,0.09426213055849077
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,36,0.3468450009822845
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,28,3.0054495334625244
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,28,0.01823398470878601
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,28,-0.017064383253455162
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,28,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,28,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,28,-0.0031387947965413328
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,28,-0.043377961963415146
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,28,0.0435367077589035
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,28,-0.04974483698606491
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,28,0.05799054354429245
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,28,0.4590611457824707
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,99,2.9736855030059814
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,99,0.014871321618556975
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,99,-0.012206410057842731
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,99,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,99,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,99,0.03432968631386757
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,99,-0.029375659301877025
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,99,0.07230454683303833
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,99,0.012481089681386948
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,99,0.06574774533510208
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,99,0.4304693937301636
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,64,2.961045742034912
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,64,0.006226364988833666
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,64,-0.012199294753372673
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,64,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,64,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,64,0.008946068584918976
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,64,-0.01677895151078701
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,64,0.07835966348648071
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,64,0.002140924334526062
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,64,0.0820729210972786
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,64,0.3578471839427948
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,52,2.9795732498168945
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,52,0.02933857217431068
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,52,-0.011437857523560524
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,52,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,52,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,52,-0.017615197226405144
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,52,-0.016778441146016114
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,52,-0.0010501175420358775
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,52,0.05689579993486405
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,52,0.06889660656452179
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,52,0.4204051196575165
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,40,3.2118234634399414
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,40,0.022989673539996147
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,40,-0.015412587672472
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,40,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,40,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,40,-0.03930383175611496
